"","sound.files","selec","start","end","SNR","bottom.freq","top.freq"
"1","tmp.wav",1,6.61162627341344,6.8054596440795,-1.20400491621053,2.76,9.96
"2","tmp.wav",2,20.0802122008254,20.2758372385032,0.482448557847761,5.88,9.72
"3","tmp.wav",3,20.9741915396744,21.1480874065005,9.1654061309949,2.76,6.84
"4","tmp.wav",4,21.5750249887296,21.702983346708,3.17686218334795,NA,10.2
"5","tmp.wav",5,22.5700460137061,22.7768168868639,8.15242576424709,NA,7.32
"6","tmp.wav",6,24.3969838655782,24.501108885633,3.78824770329944,3.24,7.08
"7","tmp.wav",7,28.559734667333,28.6885888588173,5.64108783577165,4.2,6.84
"8","tmp.wav",8,30.1563183081718,30.2726516639112,5.13032516875884,4.2,7.08
"9","tmp.wav",9,30.8950476171193,31.0515268139242,8.80258702147102,6.36,7.56
"10","tmp.wav",10,31.2330060155442,31.4183185512357,9.21475048135515,6.6,8.76
"11","tmp.wav",11,31.5930894182303,31.7830269548127,5.28688394537076,2.76,6.12
"12","tmp.wav",12,32.4502979166639,32.6422354536314,10.4324756860557,5.64,8.52
"13","tmp.wav",13,33.6778189864204,33.8079023448081,5.98067376203895,3,6.84
"14","tmp.wav",14,35.0841734239539,35.2415901209394,0.879674890592779,2.52,10.68
"15","tmp.wav",15,35.2954442979785,35.4484859941213,-3.78131647206693,3,7.08
"16","tmp.wav",16,37.0430488012376,37.1732779929867,4.56293995819022,NA,6.6
"17","tmp.wav",17,39.9754451993567,40.157424401073,5.93748766412226,3.48,7.56
"18","tmp.wav",18,40.3568202728104,40.6006328197692,4.9486573510174,2.52,8.28
"19","tmp.wav",19,42.5740706998576,42.7574665685134,5.05820479584423,3.96,9
"20","tmp.wav",20,42.7754665719802,42.9425291041568,10.8474621518041,7.56,9.24
"21","tmp.wav",21,51.4615724116096,51.6336766114239,2.12003254053229,3.48,9
"22","tmp.wav",22,51.6401766126758,51.8460933190024,-7.82959727635348,7.8,9.24
"23","tmp.wav",23,56.2244274956124,56.3499275197839,1.65546217845298,2.28,8.04
"24","tmp.wav",24,56.5396775563302,56.66778174767,2.81202119408819,4.2,7.08
"25","tmp.wav",25,58.9037821783285,59.07017804371,9.27318985002033,7.56,9
"26","tmp.wav",26,66.0113877139353,66.1852419140867,0.0907514523641408,2.76,7.08
"27","tmp.wav",27,68.2402631432215,68.4202006778779,5.23276799966918,7.56,8.76
"28","tmp.wav",28,100.205894299871,100.317394321346,1.59289024521067,2.76,4.68
"29","tmp.wav",29,100.878248596034,101.042165294272,3.83885707282772,7.56,8.76
"30","tmp.wav",30,101.052394462909,101.287540341532,1.12220693799337,4.68,9.24
"31","tmp.wav",31,101.732707093938,101.837373780764,1.17122440681026,4.68,6.6
"32","tmp.wav",32,101.856019617689,101.962748804911,1.74115666206681,5.4,8.04
"33","tmp.wav",33,103.561707446208,103.8010199923,5.24491821587972,10.92,11.4
"34","tmp.wav",34,104.411582609895,104.562165972231,3.21265728051927,7.56,9
"35","tmp.wav",35,104.598561812575,104.808478519672,3.65372399011114,7.08,9
"36","tmp.wav",36,104.981291052956,105.199895261726,2.37443439673403,NA,9
"37","tmp.wav",37,105.225957766746,105.339332788582,1.20792827515146,3.72,9.72
"38","tmp.wav",38,105.358832792338,105.470561980524,0.947810201044246,4.44,8.28
"39","tmp.wav",39,105.490436984352,105.595832837985,6.08743792477601,6.36,8.04
